date,nb_views,nb_votes
2009-02-15,,
2009-02-16,,
2009-02-17,,
2009-02-18,,
2009-02-19,,
2009-02-20,,
2009-02-21,,
2009-02-22,265778,528
2009-02-23,,
2009-02-24,,
2009-02-25,,
2009-02-26,15971,39
2009-02-27,,
2009-02-28,,
2009-03-01,,
2009-03-02,,
2009-03-03,,
2009-03-04,211908,439
2009-03-05,,
2009-03-06,,
2009-03-07,,
2009-03-08,,
2009-03-09,,
2009-03-10,,
2009-03-11,,
2009-03-12,,
2009-03-13,168198,290
2009-03-14,71267,104
2009-03-15,246060,506
2009-03-16,48275,69
2009-03-17,246786,457
2009-03-18,67904,120
2009-03-19,,
2009-03-20,,
2009-03-21,,
2009-03-22,,
2009-03-23,143421,280
2009-03-24,116254,398
2009-03-25,104032,356
2009-03-26,,
2009-03-27,,
2009-03-28,89329,696
2009-03-29,151193,452
2009-03-30,,
2009-03-31,,
2009-04-01,77005,241
2009-04-02,544440,986
2009-04-03,,
2009-04-04,104326,205
2009-04-05,50690,116
2009-04-06,,
2009-04-07,11901,31
2009-04-08,,
2009-04-09,,
2009-04-10,,
2009-04-11,109832,193
2009-04-12,114370,282
2009-04-13,691254,1707
2009-04-14,134190,248
2009-04-15,271571,374
2009-04-16,,
2009-04-17,86474,173
2009-04-18,,
2009-04-19,56100,129
2009-04-20,299892,377
2009-04-21,29404,50
2009-04-22,,
2009-04-23,390738,779
2009-04-24,,
2009-04-25,,
2009-04-26,,
2009-04-27,260207,348
2009-04-28,,
2009-04-29,92771,195
2009-04-30,439892,680
2009-05-01,241834,668
2009-05-02,,
2009-05-03,,
2009-05-04,,
2009-05-05,,
2009-05-06,835304,2629
2009-05-07,343178,406
2009-05-08,,
2009-05-09,,
2009-05-10,66818,85
2009-05-11,444130,1194
2009-05-12,,
2009-05-13,523565,1087
2009-05-14,,
2009-05-15,258755,653
2009-05-16,1040412,2138
2009-05-17,,
2009-05-18,35284,45
2009-05-19,211536,380
2009-05-20,96626,182
2009-05-21,637816,1814
2009-05-22,,
2009-05-23,192509,413
2009-05-24,161034,270
2009-05-25,,
2009-05-26,,
2009-05-27,121497,166
2009-05-28,206534,462
2009-05-29,,
2009-05-30,,
2009-05-31,55763,120
2009-06-01,,
2009-06-02,,
2009-06-03,161112,257
2009-06-04,44649,91
2009-06-05,,
2009-06-06,274119,414
2009-06-07,210855,580
2009-06-08,121685,250
2009-06-09,,
2009-06-10,,
2009-06-11,200782,362
2009-06-12,593669,494
